State Name
Number of NHL Teams
Alabama	0
Alaska	0
Arizona	1
Arkansas	0
California	3
Colorado	1
Connecticut	0
Delaware	0
Florida	2
Georgia	0
Hawaii	0
Idaho	0
Illinois	1
Indiana	0
Iowa	0
Kansas	0
Kentucky	0
Louisiana	0
Maine	0
Maryland	0
Massachusetts	1
Michigan	1
Minnesota	1
Mississippi	0
Missouri	1
Montana	0
Nebraska	0
Nevada	1
New Hampshire	0
New Jersey	1
New Mexico	0
New York	3
North Carolina	1
North Dakota	0
Ohio	1
Oklahoma	0
Oregon	0
Pennsylvania	2
Rhode Island	0
South Carolina	0
South Dakota	0
Tennessee	1
Texas	1
Utah	0
Vermont	0
Virginia	0
Washington	0
West Virginia	0
Wisconsin	0
Wyoming	0
Washington DC*	1
